step,time_since_start,runtime0,runtime1,runtime2
51,54333,129.7397265434265,120.25697803497314,120.84548282623291
52,55496,129.7397265434265,120.25697803497314,120.84548282623291
53,56654,129.7397265434265,120.25697803497314,120.84548282623291
54,57776,129.7397265434265,120.25697803497314,120.84548282623291
55,58956,129.7397265434265,120.25697803497314,120.84548282623291
56,60088,129.7397265434265,120.25697803497314,120.84548282623291
57,61246,129.7397265434265,120.25697803497314,120.84548282623291
58,62445,129.7397265434265,120.25697803497314,120.84548282623291
59,63630,129.7397265434265,120.25697803497314,120.84548282623291
60,64809,129.7397265434265,120.25697803497314,120.84548282623291
61,65968,129.7397265434265,120.25697803497314,120.84548282623291
62,67173,129.7397265434265,120.25697803497314,120.84548282623291
63,68427,129.7397265434265,120.12008237838745,124.93351602554321
64,69643,129.7397265434265,120.12008237838745,124.93351602554321
65,70839,129.7397265434265,124.71849250793457,128.15073609352112
66,72039,129.7397265434265,124.71849250793457,128.15073609352112
67,73259,129.7397265434265,124.71849250793457,128.15073609352112
68,74462,129.7397265434265,124.71849250793457,128.15073609352112
69,75673,129.7397265434265,124.71849250793457,128.15073609352112
70,76853,129.7397265434265,124.71849250793457,128.15073609352112
71,78087,129.7397265434265,124.71849250793457,128.15073609352112
72,79315,129.7397265434265,124.71849250793457,128.15073609352112
73,80564,129.7397265434265,124.71849250793457,128.15073609352112
74,81818,129.7397265434265,124.71849250793457,128.15073609352112
75,83087,129.7397265434265,124.71849250793457,128.15073609352112
76,84388,129.7397265434265,124.71849250793457,128.15073609352112
77,85654,129.7397265434265,124.71849250793457,128.15073609352112
78,86935,129.7397265434265,124.71849250793457,128.15073609352112
79,88198,129.7397265434265,124.71849250793457,128.15073609352112
80,89445,129.7397265434265,124.71849250793457,128.15073609352112
81,90756,129.7397265434265,124.71849250793457,128.15073609352112
82,92069,129.7397265434265,124.71849250793457,128.15073609352112
83,93359,129.7397265434265,124.71849250793457,128.15073609352112
84,94652,129.7397265434265,124.71849250793457,128.15073609352112
85,95951,129.7397265434265,124.71849250793457,128.15073609352112
86,97286,129.7397265434265,124.71849250793457,128.15073609352112
87,98572,129.7397265434265,124.71849250793457,128.15073609352112
88,99897,129.7397265434265,124.71849250793457,128.15073609352112
89,101248,129.7397265434265,124.71849250793457,128.15073609352112
90,102569,129.7397265434265,124.71849250793457,128.15073609352112
91,103887,129.7397265434265,124.71849250793457,128.15073609352112
92,105267,129.7397265434265,124.71849250793457,128.15073609352112
93,106591,129.7397265434265,124.71849250793457,128.15073609352112
94,107912,129.7397265434265,124.71849250793457,128.15073609352112
95,-1703665877,129.7397265434265,129.7397265434265,
