step,idxlist,knobs,time_since_start,runtime0,runtime1,runtime2
38,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',19704.0,300.0,,
39,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',19776.0,300.0,,
40,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',20615.0,300.0,,
41,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',20619.0,300.0,,
42,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',21553.0,300.0,,
43,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',21939.0,300.0,,
44,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',22459.0,300.0,,
45,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',23388.0,300.0,,
46,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',24310.0,300.0,,
47,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',24364.0,300.0,,
48,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',25202.0,300.0,,
49,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',25234.0,300.0,,
50,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',26165.0,300.0,,
51,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',27091.0,300.0,,
52,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',27094.0,300.0,,
53,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',28003.0,300.0,,
54,"CREATE INDEX IDX_promotion_14 ON PROMOTION (P_PROMO_SK,P_CHANNEL_EMAIL,P_CHANNEL_TV,P_CHANNEL_RADIO);",shared_buffers = '32GB',28501.0,300.0,,
